arquivo,real_kWh,previsto_kWh
amostra_2340_3217.09.csv,3217.09,3447.2983
amostra_2343_2744.37.csv,2744.37,2794.6885
amostra_2354_2229.70.csv,2229.7,2475.4792
amostra_2361_1392.40.csv,1392.4,1421.6315
amostra_2367_1424.40.csv,1424.4,1494.3876
amostra_2369_2248.64.csv,2248.64,2491.3533
amostra_2373_2865.89.csv,2865.89,3021.653
amostra_2376_2020.00.csv,2020.0,2201.2585
amostra_2378_2114.79.csv,2114.79,2184.1545
amostra_2381_1658.15.csv,1658.15,1803.8596
amostra_2385_1935.80.csv,1935.8,1826.1948
amostra_2399_2420.47.csv,2420.47,2478.838
amostra_2402_2917.45.csv,2917.45,2842.9028
amostra_2419_1652.45.csv,1652.45,1711.631
amostra_2421_2433.26.csv,2433.26,2446.3574
amostra_2423_2526.70.csv,2526.7,2553.9243
amostra_2439_2900.33.csv,2900.33,3016.7036
amostra_2441_1412.54.csv,1412.54,1502.4403
amostra_2444_1998.82.csv,1998.82,1994.834
amostra_2446_2017.10.csv,2017.1,2276.5083
amostra_2449_1929.63.csv,1929.63,2155.6895
amostra_2453_2835.06.csv,2835.06,2764.7236
amostra_2455_1946.01.csv,1946.01,2020.014
amostra_2464_1559.84.csv,1559.84,1447.5455
amostra_2468_2582.14.csv,2582.14,2678.5342
amostra_2470_2483.26.csv,2483.26,2555.1628
amostra_2472_1989.29.csv,1989.29,1942.3419
amostra_2479_2112.39.csv,2112.39,2212.4084
amostra_2482_2115.07.csv,2115.07,2120.1519
amostra_2494_2259.75.csv,2259.75,2335.1794
amostra_2503_1193.68.csv,1193.68,1369.2823
amostra_2517_2685.05.csv,2685.05,2608.4749
amostra_2521_3399.92.csv,3399.92,3571.095
amostra_2522_3230.65.csv,3230.65,3447.7466
amostra_2525_1785.06.csv,1785.06,1772.5579
amostra_2534_1549.97.csv,1549.97,1658.0193
amostra_2536_1800.38.csv,1800.38,1896.0027
amostra_2547_3758.92.csv,3758.92,3745.8564
amostra_2548_1479.13.csv,1479.13,1554.129
amostra_2555_3202.35.csv,3202.35,3360.5522
amostra_2558_2507.84.csv,2507.84,2810.529
amostra_2563_1423.35.csv,1423.35,1633.6757
amostra_2569_2164.82.csv,2164.82,2140.2073
amostra_2572_2148.13.csv,2148.13,2186.9446
amostra_2574_1803.00.csv,1803.0,2103.2432
amostra_2587_2115.94.csv,2115.94,2146.185
amostra_2589_3859.74.csv,3859.74,3917.9343
amostra_2591_3916.68.csv,3916.68,3988.8674
amostra_2596_1757.03.csv,1757.03,1906.933
amostra_2606_3363.29.csv,3363.29,3398.0708
amostra_2608_4434.93.csv,4434.93,4617.4873
amostra_2613_1444.45.csv,1444.45,1607.4991
amostra_2620_2063.37.csv,2063.37,2210.5369
amostra_2622_3957.91.csv,3957.91,4023.22
amostra_2628_3378.36.csv,3378.36,3367.9023
amostra_2633_2222.69.csv,2222.69,2425.707
amostra_2634_2462.42.csv,2462.42,2537.1384
amostra_2643_2712.22.csv,2712.22,2857.9573
amostra_2650_2176.91.csv,2176.91,2301.568
amostra_2656_2779.05.csv,2779.05,2942.436
amostra_2659_2440.21.csv,2440.21,2733.0442
amostra_2661_1294.43.csv,1294.43,1372.0219
amostra_2662_1464.23.csv,1464.23,1727.1948
amostra_2672_1844.89.csv,1844.89,2069.3767
amostra_2680_2441.15.csv,2441.15,2533.008
amostra_2682_2493.40.csv,2493.4,2719.1787
amostra_2697_2694.46.csv,2694.46,2836.3523
amostra_2700_2112.60.csv,2112.6,2099.2417
amostra_2703_2052.74.csv,2052.74,2262.343
amostra_2704_892.18.csv,892.18,1091.5144
amostra_2714_2825.55.csv,2825.55,2806.1
